epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,8863.31,1.19631,0.56504,0.98127,0.91609,0.88888,0.91786,0.60994,1.21234,0.55587,1.0543,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755
32,9146.29,1.18701,0.55855,0.97611,0.91443,0.87815,0.91196,0.60882,1.21102,0.55383,1.05779,0.0022155,0.0007385,0.0022155,0.0007385,0.0022155,0.0007385,0.0022155,0.0007385
33,9429.33,1.17287,0.55579,0.9757,0.90374,0.89379,0.91228,0.61211,1.21111,0.55224,1.06308,0.002166,0.000722,0.002166,0.000722,0.002166,0.000722,0.002166,0.000722
34,9711.87,1.16894,0.54637,0.9698,0.90665,0.8943,0.91112,0.60857,1.20742,0.55231,1.05989,0.0021165,0.0007055,0.0021165,0.0007055,0.0021165,0.0007055,0.0021165,0.0007055
35,9993.94,1.15293,0.54238,0.96702,0.91622,0.88054,0.91477,0.61604,1.20741,0.54699,1.06102,0.002067,0.000689,0.002067,0.000689,0.002067,0.000689,0.002067,0.000689
36,10276.4,1.15836,0.54107,0.96853,0.90614,0.88716,0.91537,0.61794,1.21193,0.54906,1.06478,0.0020175,0.0006725,0.0020175,0.0006725,0.0020175,0.0006725,0.0020175,0.0006725
37,10557.9,1.14355,0.53406,0.96206,0.91186,0.88815,0.9119,0.61331,1.20567,0.5439,1.06399,0.001968,0.000656,0.001968,0.000656,0.001968,0.000656,0.001968,0.000656
38,10839.7,1.13617,0.53084,0.96376,0.90402,0.88806,0.91484,0.61914,1.20752,0.53807,1.06397,0.0019185,0.0006395,0.0019185,0.0006395,0.0019185,0.0006395,0.0019185,0.0006395
39,11121.6,1.13415,0.52884,0.95893,0.90837,0.89292,0.91569,0.61657,1.20612,0.54498,1.06896,0.001869,0.000623,0.001869,0.000623,0.001869,0.000623,0.001869,0.000623
40,11403.4,1.12278,0.52243,0.95457,0.90356,0.89379,0.90805,0.61254,1.21022,0.54474,1.06842,0.0018195,0.0006065,0.0018195,0.0006065,0.0018195,0.0006065,0.0018195,0.0006065
41,11684.8,1.11799,0.52381,0.95619,0.91954,0.88012,0.91549,0.62367,1.20529,0.54225,1.06146,0.00177,0.00059,0.00177,0.00059,0.00177,0.00059,0.00177,0.00059
42,11966.4,1.11478,0.51793,0.95487,0.895,0.90673,0.91724,0.62222,1.20403,0.5427,1.06745,0.0017205,0.0005735,0.0017205,0.0005735,0.0017205,0.0005735,0.0017205,0.0005735
43,12248,1.1062,0.51538,0.95125,0.91465,0.90284,0.91806,0.61901,1.20086,0.53998,1.07045,0.001671,0.000557,0.001671,0.000557,0.001671,0.000557,0.001671,0.000557
44,12530.2,1.09487,0.50988,0.94599,0.91568,0.89554,0.91841,0.61964,1.20363,0.52988,1.07201,0.0016215,0.0005405,0.0016215,0.0005405,0.0016215,0.0005405,0.0016215,0.0005405
45,12811.8,1.08894,0.50425,0.94256,0.92031,0.87959,0.91354,0.62265,1.19301,0.53148,1.06583,0.001572,0.000524,0.001572,0.000524,0.001572,0.000524,0.001572,0.000524
46,13093.3,1.07779,0.49842,0.94478,0.90971,0.89035,0.91606,0.62533,1.1962,0.53401,1.06945,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075
47,13375.4,1.07654,0.50051,0.93988,0.91273,0.89058,0.91641,0.61868,1.20136,0.5289,1.07143,0.001473,0.000491,0.001473,0.000491,0.001473,0.000491,0.001473,0.000491
48,13656.9,1.07102,0.49709,0.942,0.91218,0.89399,0.91135,0.619,1.19669,0.52972,1.07304,0.0014235,0.0004745,0.0014235,0.0004745,0.0014235,0.0004745,0.0014235,0.0004745
49,13938.4,1.06179,0.49391,0.93871,0.90341,0.90145,0.91531,0.6235,1.19108,0.52782,1.07195,0.001374,0.000458,0.001374,0.000458,0.001374,0.000458,0.001374,0.000458
50,14220.1,1.05795,0.49014,0.93252,0.91397,0.89835,0.91465,0.62073,1.19354,0.52974,1.07444,0.0013245,0.0004415,0.0013245,0.0004415,0.0013245,0.0004415,0.0013245,0.0004415
51,14501.6,1.04803,0.48669,0.93546,0.91426,0.89211,0.9156,0.62599,1.19253,0.52465,1.07431,0.001275,0.000425,0.001275,0.000425,0.001275,0.000425,0.001275,0.000425
52,14783.4,1.04978,0.48369,0.93372,0.91494,0.89408,0.91432,0.62693,1.19974,0.52897,1.07802,0.0012255,0.0004085,0.0012255,0.0004085,0.0012255,0.0004085,0.0012255,0.0004085
53,15065.2,1.03584,0.47948,0.93031,0.92223,0.89512,0.91614,0.62661,1.19385,0.52812,1.07889,0.001176,0.000392,0.001176,0.000392,0.001176,0.000392,0.001176,0.000392
54,15346.8,1.0266,0.47717,0.92496,0.9122,0.8941,0.9119,0.62535,1.18979,0.5294,1.07603,0.0011265,0.0003755,0.0011265,0.0003755,0.0011265,0.0003755,0.0011265,0.0003755
55,15629,1.03159,0.4777,0.92402,0.92999,0.88522,0.91302,0.6287,1.19027,0.52683,1.07899,0.001077,0.000359,0.001077,0.000359,0.001077,0.000359,0.001077,0.000359
56,15911.5,1.02413,0.47395,0.92197,0.9166,0.89774,0.91174,0.62741,1.18937,0.52042,1.08292,0.0010275,0.0003425,0.0010275,0.0003425,0.0010275,0.0003425,0.0010275,0.0003425
57,16193.4,1.01018,0.46799,0.92278,0.91557,0.89534,0.91175,0.62801,1.18652,0.52565,1.08239,0.000978,0.000326,0.000978,0.000326,0.000978,0.000326,0.000978,0.000326
58,16475.7,1.00606,0.46424,0.91955,0.91885,0.89491,0.91506,0.62905,1.19029,0.52476,1.08447,0.0009285,0.0003095,0.0009285,0.0003095,0.0009285,0.0003095,0.0009285,0.0003095
59,16757.6,1.00735,0.46499,0.92049,0.92108,0.90012,0.91589,0.62725,1.18634,0.52394,1.08414,0.000879,0.000293,0.000879,0.000293,0.000879,0.000293,0.000879,0.000293
60,17039.8,0.99473,0.46089,0.91981,0.91784,0.89412,0.91467,0.63015,1.18775,0.52488,1.08501,0.0008295,0.0002765,0.0008295,0.0002765,0.0008295,0.0002765,0.0008295,0.0002765
61,17321.9,0.99215,0.45688,0.91607,0.92024,0.89604,0.91453,0.63117,1.18457,0.52753,1.08699,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026
62,17604.3,0.98642,0.45594,0.91642,0.9244,0.89398,0.91451,0.63192,1.184,0.52227,1.08711,0.0007305,0.0002435,0.0007305,0.0002435,0.0007305,0.0002435,0.0007305,0.0002435
63,17886.8,0.97493,0.44873,0.91052,0.91586,0.89207,0.91364,0.62965,1.1858,0.51983,1.08681,0.000681,0.000227,0.000681,0.000227,0.000681,0.000227,0.000681,0.000227
64,18169.1,0.97521,0.45024,0.9108,0.9172,0.89435,0.91516,0.63112,1.18555,0.51945,1.0875,0.0006315,0.0002105,0.0006315,0.0002105,0.0006315,0.0002105,0.0006315,0.0002105
65,18451.3,0.97565,0.45107,0.91131,0.91705,0.89427,0.9147,0.63124,1.18227,0.52157,1.0875,0.000582,0.000194,0.000582,0.000194,0.000582,0.000194,0.000582,0.000194
